ID,Question,System,Correct?,Time (ms)
0,2,G,B,401513
0,4,G,Y,135592
0,6,G,Y,47308
0,8,G,B,359224
0,10,G,Y,339901
1,1,G,Y,102621
1,3,G,B,91147
1,5,G,B,106830
1,7,G,Y,139460
1,9,G,B,114053
2,2,G,Y,114138
2,4,G,N,63790
2,6,G,Y,85724
2,8,G,Y,86731
2,10,G,B,63647
3,1,G,Y,165617
3,3,G,N,258310
3,5,G,B,157543
3,7,G,B,125600
3,9,G,B,97950
4,2,G,Y,337575
4,4,G,Y,228607
4,6,G,Y,76340
4,8,G,B,113818
4,10,G,B,933
5,1,G,N,134842
5,3,G,N,260785
5,5,G,N,365343
5,7,G,N,199663
5,9,G,N,263415
6,2,G,Y,172518
6,4,G,B,272890
6,6,G,Y,106071
6,8,G,Y,243005
6,10,G,B,339881
8,2,G,N,137118
8,4,G,N,83949
8,6,G,N,69032
8,8,G,N,32944
8,10,G,N,282713
9,1,G,Y,200891
9,3,G,N,105043
9,5,G,B,248262
9,7,G,Y,39151
9,9,G,Y,154123
10,2,G,Y,143815
10,4,G,B,189640
10,6,G,Y,160450
10,8,G,B,340821
10,10,G,B,234091
11,1,G,Y,49217
11,3,G,N,159730
11,5,G,B,236993
11,7,G,Y,60019
11,9,G,B,247436
0,1,W,Y,178167
0,3,W,Y,117085
0,5,W,N,195752
0,7,W,Y,161530
0,9,W,Y,228351
1,2,W,Y,94567
1,4,W,Y,38736
1,6,W,B,146697
1,8,W,Y,84004
1,10,W,Y,158216
2,1,W,Y,70293
2,3,W,Y,110671
2,5,W,N,180858
2,7,W,B,107491
2,9,W,B,61608
3,2,W,B,371240
3,4,W,Y,192531
3,6,W,Y,134135
3,8,W,Y,71817
3,10,W,Y,24521
4,1,W,Y,120852
4,3,W,N,404710
4,5,W,Y,206219
4,7,W,Y,245255
4,9,W,B,353760
5,2,W,Y,188551
5,4,W,N,186000
5,6,W,Y,86124
5,8,W,Y,82985
5,10,W,N,193016
6,1,W,Y,103057
6,3,W,Y,46005
6,5,W,Y,186673
6,7,W,Y,145518
6,9,W,N,251342
8,1,W,Y,116548
8,3,W,B,108008
8,5,W,N,122564
8,7,W,N,48148
8,9,W,B,214863
9,2,W,Y,85987
9,4,W,N,29778
9,6,W,Y,54773
9,8,W,Y,78280
9,10,W,Y,140363
10,1,W,Y,187569
10,3,W,Y,49740
10,5,W,N,256042
10,7,W,N,150525
10,9,W,Y,145012
11,2,W,Y,151730
11,4,W,Y,23576
11,6,W,Y,68146
11,8,W,Y,78436
11,10,W,Y,178097
